Gene	Coarse module	Fine module	Comments
2700050L05RIK	1	1	
4932438A13RIK	1	1	
AFF4	1	1	
AHSA2	1	1	
ANKIB1	1	1	
ARID4B	1	1	
ASCC3	1	1	
BDP1	1	1	
BIRC6	1	1	
BOD1L	1	1	
CHD1	1	1	
CLCN3	1	1	
COG5	1	1	
CRKRS	1	1	
CUL3	1	1	
D14ABB1E	1	1	
EPC2	1	1	
GARNL1	1	1	
GGPS1	1	1	
GM5488	1	1	
GPBP1	1	1	
HERC1	1	1	
KRIT1	1	1	
LRBA	1	1	
MDM4	1	1	
MED13	1	1	
MGEA5	1	1	
MIER1	1	1	
MYCBP2	1	1	
NIPBL	1	1	
OSBPL8	1	1	
PHF3	1	1	
PUM2	1	1	
RASA1	1	1	
RASA2	1	1	
RBBP6	1	1	
RBM6	1	1	
RC3H2	1	1	
RSF1	1	1	
SBNO1	1	1	
SCAI	1	1	
Sept7	1	1	
SF3B1	1	1	
SLTM	1	1	
SMC6	1	1	
SMG1	1	1	
TLK1	1	1	
TRIM33	1	1	
TRIP12	1	1	
TUG1	1	1	
WAPAL	1	1	
WRN	1	1	
XRN1	1	1	
YTHDC1	1	1	
ZFP281	1	1	
ZFP292	1	1	
ZFP654	1	1	
ZMYM2	1	1	
4932422M17RIK	1	2	
6430601O08RIK	1	2	
9130227C08RIK	1	2	
ANKRD11	1	2	
ATF7IP	1	2	
ATPGD1	1	2	
ATXN7L1	1	2	
BAZ2A	1	2	
C330019G07RIK	1	2	
CABLES2	1	2	
CDC2L5	1	2	
CHD2	1	2	
CREBBP	1	2	
EP300	1	2	
FBRS	1	2	
G530012D18RIK	1	2	
GM340	1	2	
GM8899	1	2	
KCNRG	1	2	
MLL1	1	2	
MLL2	1	2	
MLL3	1	2	
MYST3	1	2	
PHF21A	1	2	
SMAP2	1	2	
TMED8	1	2	
TNRC6B	1	2	
TRIM34	1	2	
UBLCP1	1	2	
VEZF1	1	2	
4932442E05RIK	1	3	
A330023F24RIK	1	3	
AKAP5	1	3	
C030002C11RIK	1	3	
C430010C01	1	3	
CBX7	1	3	
ENSMUSG00000073622	1	3	
GM10825	1	3	
GM10847	1	3	
GM12000	1	3	
GM6041	1	3	
GM9968	1	3	
GRAMD3	1	3	
HPVC-PS	1	3	
OLFR99	1	3	
ORM2	1	3	
ORM3	1	3	
PISD-PS1	1	3	
POU5F2	1	3	
SFI1	1	3	
TBX6	1	3	
YPEL1	1	3	
3300001P08RIK	1	4	
4930473A06RIK	1	4	
6820431F20RIK	1	4	
AKAP9	1	4	
ASH1L	1	4	
BC005561	1	4	
BC016423	1	4	
BRWD1	1	4	
CDH11	1	4	
CHD6	1	4	
CLASP1	1	4	
DICER1	1	4	
DMXL1	1	4	
GM10539	1	4	
MGA	1	4	
PCM1	1	4	
POU2F1	1	4	
RAB11FIP2	1	4	
RBM26	1	4	
SFRS18	1	4	
ZCCHC7	1	4	
1200016B10RIK	1	5	
3110052M02RIK	1	5	
ADAM10	1	5	
AI606181	1	5	
ANKHD1	1	5	
ANKRD12	1	5	
ARFGEF1	1	5	
ASXL2	1	5	
CEP110	1	5	
CIR1	1	5	
D19ERTD737E	1	5	
ESCO1	1	5	
FBXO11	1	5	
GLS	1	5	
ITSN2	1	5	
KIF5B	1	5	
LOC100044428	1	5	
MLL5	1	5	
MYSM1	1	5	
PARP4	1	5	
PHF20L1	1	5	
PTPN4	1	5	
RBM27	1	5	
RLF	1	5	
ROCK1	1	5	
RSBN1L	1	5	
SCAPER	1	5	
SMEK1	1	5	
SMEK2	1	5	
STAG2	1	5	
TAX1BP1	1	5	
TMF1	1	5	
TNRC6A	1	5	
TPP2	1	5	
TRIP11	1	5	
VPS13A	1	5	
VPS54	1	5	
XRN2	1	5	
YTHDC2	1	5	
ZCCHC11	1	5	
ZCCHC6	1	5	
ZFML	1	5	
ZFP51	1	5	
ZFP677	1	5	
ZMYM5	1	5	
1110037F02RIK	1	6	
9630025I21RIK	1	6	
AGFG1	1	6	
ARAP2	1	6	
ATP11B	1	6	
CNOT6L	1	6	
CROT	1	6	
DDB2	1	6	
ESYT2	1	6	
GM15468	1	6	
KCNQ5	1	6	
